repoOwner,repoName,couldntAccess,frontendVersion,versionDoubt,builtByGovernment,indirectDependency,isPrototype,lastUpdated,repoCreated
alphagov,whitehall,false,null,false,true,true,false,2024-12-19T11:27:00Z,2011-09-19T15:10:49Z
timpaul,form-extractor-prototype,false,5.3.1,false,false,false,false,2024-08-26T12:02:36Z,2024-04-11T18:29:05Z
alphagov,govuk-prototype-kit,false,5.2.0,false,true,false,false,2024-04-05T11:19:46Z,2014-06-26T13:54:09Z
uktrade,stream-unzip,false,null,false,true,true,false,2024-11-17T22:30:06Z,2021-05-16T14:21:59Z
UKHSA-Internal,coronavirus-dashboard,false,3.14.0,false,true,false,false,2023-11-16T18:01:43Z,2020-03-19T11:48:24Z
govuk-vue,govuk-vue,false,null,false,false,true,false,2024-10-10T11:55:05Z,2023-03-11T14:42:38Z
x-govuk,govuk-components,false,null,false,true,true,false,2024-12-15T18:51:15Z,2020-05-05T14:15:18Z
co-cddo,api-catalogue,false,4.7.0,false,true,false,false,2024-12-17T23:47:36Z,2019-09-05T11:03:45Z
uktrade,stream-zip,false,null,false,true,true,false,2024-11-21T09:35:16Z,2021-12-29T07:31:26Z
i-dot-ai,redbox,false,null,false,true,true,false,2024-12-17T14:04:42Z,2024-01-18T16:51:54Z
alphagov,paas-cf,false,null,false,true,true,false,2024-12-16T04:55:56Z,2015-11-23T11:36:57Z
x-govuk,govuk-form-builder,false,null,false,true,true,false,2024-12-09T08:40:55Z,2019-05-27T10:31:14Z
UKHomeOffice,design-system,false,null,false,true,true,false,2024-12-18T14:42:28Z,2016-11-21T15:57:34Z
alphagov,govuk_publishing_components,false,5.7.1,false,true,false,false,2024-12-18T16:10:03Z,2017-07-12T14:59:27Z
XGovFormBuilder,digital-form-builder,false,4.9.0,true,false,false,false,2024-11-13T17:12:48Z,2020-06-11T11:15:12Z
UKHSA-Internal,coronavirus-dashboard-summary,false,null,false,true,true,false,2023-11-23T16:27:21Z,2021-10-25T14:31:28Z
x-govuk,govuk-eleventy-plugin,false,5.7.1,false,true,false,false,2024-12-01T22:01:50Z,2019-08-01T23:06:50Z
paulrobertlloyd,classnames,false,null,false,false,true,false,2024-10-11T12:41:23Z,2023-09-28T00:35:34Z